Round,Total Quantity,Price,Firm 1 Quantity,Firm 2 Quantity,Firm 3 Quantity,Firm 4 Quantity,Firm 5 Quantity,Firm 1 Profit,Firm 2 Profit,Firm 3 Profit,Firm 4 Profit,Firm 5 Profit
53.0,47.80265414961647,34.026805078754656,42.638123048813284,7.7939461798110665,33.83084371769322,166.0923721746887,167.8152556506226,7543.9880854000185,5369.948942477569,6728.946289411172,1230.0036088940767,5339.023250184015
54.0,14.47369100673404,26.013078214325333,5.894699224807818,28.059673173603354,26.797062030627266,101.2382036500978,297.5235926998044,4161.527637883019,7479.373705363832,1694.8650990014958,8067.818040856759,7704.787548845467
55.0,47.686947604642114,4.9328534922925185,46.466639636941906,11.8554237607511,11.816858540421459,122.7587230350491,254.4825539299018,11658.626739504318,1205.99661995771,11360.282730979961,2898.4442789496698,2889.01575539061
56.0,25.935981844429616,26.29697590437094,12.674971329946677,13.963808001186676,15.080145083719561,93.95188216365347,312.09623567269307,7835.162483677498,7944.217430285974,3829.0611260361993,4218.413832814727,4555.655063189749
57.0,37.70638253483573,8.295288135175198,34.42495300397421,34.183915702198846,33.59157968551718,148.20211906170118,203.59576187659763,7299.795854441958,1605.9326265151433,6664.5250043704555,6617.861204292574,6503.187461856139
58.0,47.93542517269953,26.08203501482878,23.49110324744424,40.02446672320991,7.184617661611802,144.71764781979428,210.56470436041144,9614.154378153105,5231.135641867034,4711.486177923555,8027.495335523722,1440.9807172437615
59.0,26.40515624339738,38.866065372497836,28.050698417539095,38.08792796445925,5.186213423863242,136.59606142175681,226.80787715648637,5724.8458711163275,8426.469126836479,6081.612376663463,8257.762807263583,1124.411922908262
60.0,43.192311012715365,27.000122955572824,24.748829936537255,1.3579202469898206,46.62595796872184,142.9251421205371,214.14971575892582,8817.698016216962,5512.06742683624,5052.466596910074,277.2190324462622,9518.676066302185
61.0,32.24194591336937,10.497140822218007,10.527063406005647,46.5912322376892,29.86455598989412,129.72193836917634,240.55612326164731,7433.578056198155,2420.180093302165,2427.0789282182145,10741.893882704706,6885.456251960397
62.0,10.495594743119648,22.345384033468747,39.69088243173517,9.093377225072262,10.926799218074784,92.55203765147061,314.8959246970588,3200.064064449054,6813.016527595346,12101.588301066138,2772.5336576575814,3331.53655157401
63.0,47.5528089436943,38.002659299033354,40.64445916241744,48.88312652768511,30.50352651944732,205.58658045227753,88.82683909544494,3748.437619141026,2995.6295097639168,3203.8742425172622,3853.3023492801103,2404.4965767921117
64.0,31.511872759204625,7.569784319199946,1.9276883507980667,22.604891763096926,46.26973274869974,109.8839699409993,280.2320601180014,8515.518293896195,2045.5984112263443,520.9231943016342,6108.566469886124,12503.565201790487
65.0,20.47703998836139,11.253088396654995,48.03726474370805,49.1635529589845,25.292060078081796,154.22300616579074,191.55398766841853,3717.688265532677,2043.0430719979245,8721.35697090373,8925.839087651115,4591.874363524963
66.0,13.1249332664881,39.88741331462416,17.21244546436474,32.741277860458396,39.49206048727077,142.45813039320618,215.08373921358765,2691.7103912201865,8180.259870120965,3529.992676841878,6714.703690253861,8099.1794339786675
67.0,22.094187130370745,44.86251359533319,1.9810390465142682,1.6663927433450116,30.919471260106437,101.52360377566966,296.9527924486607,6339.988693943147,12873.423552446864,568.4646863471016,478.17605101903547,8872.428619123653
68.0,40.638694421722214,29.66067895881241,13.205626730978185,42.50623279562908,47.5307050371334,173.5419379442753,152.9161241114494,5807.924695702119,4238.98927530749,1887.2969888539521,6074.826041730286,6792.904140191649
69.0,22.992515653422558,17.26876340594485,34.17539882500407,10.735756404278332,28.718571415012242,113.89100570366205,272.2179885926759,6029.051207326079,4528.180405789666,8961.404339245068,2815.1084503508027,7530.526031699628
70.0,49.326796027068255,28.589816873115435,24.02292189330473,43.3258933844561,17.866048690551107,163.13147686849564,173.73704626300872,8076.623883090069,4681.212168004249,3933.442273416682,7094.053809476872,2925.3340409819334
71.0,29.99872835349355,13.80566637113544,49.37248896102068,12.023201187810956,6.653348541174182,111.85343341463481,276.29313317073036,7988.455364389422,3676.3541534794435,13147.554777867494,3201.6959150442267,1771.741029106181
72.0,38.02705737542679,47.859192790940824,24.92149741756682,27.338573047988046,6.684948435359453,144.8312690672819,210.33746186543618,7618.244156804319,9587.989210665664,4992.709538521359,5476.940335456747,1339.2456022412316
73.0,41.385806696198394,46.79322779068114,47.545769145125064,29.871118616743527,12.028234410277406,177.62415665902552,144.75168668194897,5576.807257005831,6305.466370086931,6406.872586896169,4025.1836166827566,1620.8248745907383
74.0,14.614725038939248,30.971980050603904,15.252284048614735,44.00542326418411,40.6715470657231,145.5159594680651,208.96808106386982,2907.8637962738326,6162.435437417116,3034.717688993945,8755.674623278086,8092.33967356579
75.0,25.888046449289256,43.39820592401734,49.62045555745927,8.6839128458376,31.826124849133954,159.4167456257374,181.1665087485252,4431.166529044496,7428.319393963611,8493.360140281657,1486.3950440984918,5447.566677420942
76.0,9.596050742930208,14.73814449295284,19.60695705546626,16.177043723373462,40.94225614290231,101.06045215762508,297.8790956847498,2762.5024100197197,4242.803708702439,5644.433066257352,4657.03271793741,11786.419673712111
77.0,19.6517324723371,28.06619751606605,36.72197525132822,25.34310976259431,11.273174559689762,121.05618956201543,257.8876208759691,4871.42120865867,6957.262929292648,9102.923078917971,6282.2431846480495,2794.4804213209954
